Metabolite.A,Metabolite.B,pcor.0,pcor.1,qval.0,qval.1,edge
CE_16_1____M_NH4__@10.70,CE_18_3____M_NH4__@10.52,0,0.322900835043948,0.999992247294925,0.016803894744152,Group 2
CE_16_1____M_NH4__@10.70,lysoPC_16_1___M_H__@1.17,0.191916057750165,0,0.147891106518215,0.999998586380093,Group 1
CE_16_1____M_NH4__@10.70,PC_32_1,0.212253105093363,0,0.1143497085129,0.999998586380093,Group 1
CE_18_2____M_NH4__@10.73,CE_18_3____M_NH4__@10.52,0.237238200477927,0,0.0299855404168296,0.783945025844773,Group 1
CE_18_2____M_NH4__@10.73,CE_20_3____M_NH4__@10.78,0.37668376419382,0.300196554732503,1.25066037956949e-06,0.0223411503302468,Both
CE_18_3____M_NH4__@10.52,CE_20_3____M_NH4__@10.78,0,0.284598162185838,0.999992247294925,0.0305486762443483,Group 2
CE_18_3____M_NH4__@10.52,CE_20_5____M_NH4__@10.45,0,0.249302311601994,0.999992247294925,0.108339863222703,Group 2
CE_20_3____M_NH4__@10.78,CE_20_4____M_NH4__@10.58,0.300438620186767,0.296555599174991,0.000117076874875911,0.0157692022116711,Both
CE_20_4____M_NH4__@10.58,CE_22_5____M_NH4__@10.73,0.297655109183944,0,0.000271709026033459,0.298536985076868,Group 1
CE_20_4____M_NH4__@10.58,DG_32_1___M_NH4__@7.50,-0.256345486470963,0,0.000813538782082718,0.999998586380093,Group 1
CE_20_4____M_NH4__@10.58,plasmenyl_PE_38_4,0.183834516383441,0,0.105212154345487,0.999998586380093,Group 1
CE_20_5____M_NH4__@10.45,CE_22_6____M_NH4__@10.51,0.351439317863415,0.303262105247111,2.90024935636203e-06,0.0100475131862439,Both
CE_22_5____M_NH4__@10.73,CE_22_6____M_NH4__@10.51,0.310998490345442,0.360730808318558,0.000145675659874071,0.00140892577191608,Both
DG_30_0___M_NH4__@7.41,MG_18_1___M_NH4__@2.98,0,0.303948445163869,0.25969028920214,0.0192519740777911,Group 2
DG_32_1___M_NH4__@7.50,TG_48_1,0.180381706817071,0,0.0574008193773357,0.520507526919118,Group 1
DG_32_2___M_NH4__@7.06,DG_34_3___M_NH4__@7.23,0.258419471795777,0.271074470181085,0.00433903907157686,0.0544359391596446,Both
DG_32_2___M_NH4__@7.06,TG_46_3___M_NH4__@9.64,0.235863182618003,0.224774476329294,0.00714145316536466,0.190819645322647,Both
DG_34_0___M_NH4__@8.42,DG_36_0___M_NH4__@8.82,0.305810297733214,0.376781447000276,0.000482673499481013,0.00235155062862393,Both
DG_34_0___M_NH4__@8.42,DG_38_0___M_NH4__@9.23,0.230554962040724,0.269809089149884,0.0317808282549803,0.114516132445041,Both
DG_34_0___M_NH4__@8.42,DG_40_0___M_NH4__@9.63,0.207482151180511,0,0.130078348669496,0.999998586380093,Group 1
DG_34_2___M_NH4__@7.59,DG_34_3___M_NH4__@7.23,0.377522919564744,0.314495935144344,8.10928829797453e-08,0.0023953865867025,Both
