Compound,ShortName,foldchange,fcdirection,fc.notes,statistic,pvalue,qvalue,DEstatus,meanchange,mc.notes,membership
CE_16_1____M_NH4__@10.70,CE_16_1,-0.23255630632472,Down,Group 2 over Group 1,-1.6735863289849,0.0958963550768872,0.365396293455175,FALSE,-0.218530896015832,Group 2 over Group 1,1
CE_18_2____M_NH4__@10.73,CE_18_2,-0.607167086263207,Down,Group 2 over Group 1,-4.46175739955292,1.44527518369412e-05,0.000744316719602473,TRUE,-0.553577806941162,Group 2 over Group 1,1
CE_18_3____M_NH4__@10.52,CE_18_3,-0.434640681309447,Down,Group 2 over Group 1,-3.05247194792734,0.00264837925313961,0.0417041124780886,TRUE,-0.269007927807219,Group 2 over Group 1,1
CE_20_3____M_NH4__@10.78,CE_20_3,-0.588122352459776,Down,Group 2 over Group 1,-4.19088801049045,4.57150863624427e-05,0.00176574521074935,TRUE,-0.268263837853619,Group 2 over Group 1,1
CE_20_4____M_NH4__@10.58,CE_20_4,-0.485870678007532,Down,Group 2 over Group 1,-3.52531867090868,0.000537401123708854,0.0181786396933846,TRUE,-0.278314574643252,Group 2 over Group 1,1
CE_20_5____M_NH4__@10.45,CE_20_5,-0.639694232616382,Down,Group 2 over Group 1,-4.7102049021631,5.03035305878837e-06,0.000310875819033121,TRUE,-0.523992029270161,Group 2 over Group 1,1
CE_22_5____M_NH4__@10.73,CE_22_5,-0.592770068249817,Down,Group 2 over Group 1,-4.20018192536121,4.45365038459397e-05,0.00176574521074935,TRUE,-0.422453999854103,Group 2 over Group 1,1
CE_22_6____M_NH4__@10.51,CE_22_6,-0.391524021081808,Down,Group 2 over Group 1,-2.89818047357967,0.00419005431940207,0.0539469493623017,FALSE,0.0168302724238323,Group 2 over Group 1,1
DG_30_0___M_NH4__@7.41,DG_30_0,-0.0704050284179307,Down,Group 2 over Group 1,-0.462307704630629,0.644582952377722,0.893166512487516,FALSE,-0.0671230674142171,Group 2 over Group 1,9
DG_30_1___M_NH4__@6.91,DG_30_1,0.304610387941312,Up,Group 2 over Group 1,2.14847801961416,0.033065557794333,0.212077407910331,FALSE,0.304610387941312,Group 2 over Group 1,NA
DG_32_1___M_NH4__@7.50,DG_32_1,0.00226787302019039,Up,Group 2 over Group 1,0.0154249602754852,0.987712484830641,0.994147093852339,FALSE,-0.0479692839064309,Group 2 over Group 1,13
DG_32_2___M_NH4__@7.06,DG_32_2,0.126115564996862,Up,Group 2 over Group 1,0.89210329555732,0.373531399176788,0.721382514660171,FALSE,0.115715917308897,Group 2 over Group 1,10
