"cluster.name","number.of.nodes","number.of.edges","number.of.DE.nodes","number.of.DE.edges","NetGSA.pval","NetGSA.pFDR"
"Cluster1",17,18,8,9,6.46004587988317e-15,9.04406423183644e-14
"Cluster2",6,8,4,4,1.38802539737847e-10,9.71617778164927e-10
"Cluster3",52,72,4,33,6.8376726453688e-10,3.19091390117211e-09
"Cluster4",28,33,4,11,2.10147629576581e-07,7.35516703518034e-07
"Cluster5",14,16,1,8,7.24881199753029e-07,2.02966735930848e-06
"Cluster6",37,49,0,15,0.000538636195597705,0.00125681778972798
"Cluster7",40,55,1,20,0.0102160082055433,0.0204320164110867
"Cluster8",9,9,0,3,0.0924519764243048,0.161790958742533
"Cluster9",5,5,1,3,0.127438544892538,0.198237736499504
"Cluster10",21,27,0,10,0.27692585585644,0.357164224766231
"Cluster11",7,6,0,0,0.303130936944199,0.357164224766231
"Cluster12",15,20,0,8,0.306140764085341,0.357164224766231
"Cluster13",15,27,0,11,0.742667227588711,0.799795475864766
"Cluster14",28,39,0,13,0.897910356607547,0.897910356607547
